,PUBMEDID,TITLE,AUTHORS,PUBICATION,PUBDATE,PUBYEAR
350,8410070,Subclinical phenotypic expressions in heterozygous females of X-linked recessive bulbospinal neuronopathy.,"Sobue G, Doyu M, Kachi T, Yasuda T, Mukai E, Kumagai T, Mitsuma T.",J Neurol Sci. 1993 Jul;117(1-2):74-8.,7/1/1993,1993
353,8233073,Identification of androgen receptor in the rat spinal motoneurons. Immunohistochemical and immunoblotting analyses with monoclonal antibody.,"Matsuura T, Ogata A, Demura T, Moriwaka F, Tashiro K, Koyanagi T, Nagashima K.",Neurosci Lett. 1993 Aug 6;158(1):5-8.,8/6/1993,1993
356,8411722,[A novel primer extension method to detect the number of CAG repeats in the androgen receptor gene in families with X-linked spinal and bulbar muscular atrophy].,"Sakoda S, Yamamoto Y.",Nihon Rinsho. 1993 Sep;51(9):2414-9. Japanese.,9/1/1993,1993
359,8252045,Reduced transcriptional regulatory competence of the androgen receptor in X-linked spinal and bulbar muscular atrophy.,"Mhatre AN, Trifiro MA, Kaufman M, Kazemi-Esfarjani P, Figlewicz D, Rouleau G, Pinsky L.",Nat Genet. 1993 Oct;5(2):184-8. Erratum in: Nat Genet 1994 Feb;6(2):214.,10/1/1993,1993
362,8293617,[Tissue variability of androgen receptor gene in bulbospinal muscular atrophy--comparison of the number of CAG repeats between muscles and peripheral blood leukocytes].,"Nakajima H, Kimura F, Shinoda K, Ohsawa N, Nakagawa T, Shimizu A.",Rinsho Shinkeigaku. 1993 Oct;33(10):1103-5. Japanese.,10/1/1993,1993
365,8224187,Triplet repeat sequences in human DNA can be detected by hybridization to a synthetic (5'-CGG-3')17 oligodeoxyribonucleotide.,"Behn-Krappa A, Mollenhauer J, Doerfler W.",FEBS Lett. 1993 Nov 1;333(3):248-50.,11/1/1993,1993
368,8413375,Muscle cramp as the result of impaired GABA function--an electrophysiological and pharmacological observation.,"Obi T, Mizoguchi K, Matsuoka H, Takatsu M, Nishimura Y.",Muscle Nerve. 1993 Nov;16(11):1228-31.,11/1/1993,1993
371,8232979,Kennedy's disease.,"Roling DB, La Spada AR, Fischbeck KH.",Neurology. 1993 Nov;43(11):2424-5. No abstract available.,11/1/1993,1993
374,8250524,Molecular genetics in neurology.,Martin JB.,Ann Neurol. 1993 Dec;34(6):757-73. Review. Erratum in: Ann Neurol 1994 Feb;35(2):254.,12/1/1993,1993
378,8284211,"A single trinucleotide, 5'AGC3'/5'GCT3', of the triplet-repeat disease genes confers metal ion-induced non-B DNA structure.","Kohwi Y, Wang H, Kohwi-Shigematsu T.",Nucleic Acids Res. 1993 Dec 11;21(24):5651-5.,12/11/1993,1993
381,8190020,"Trinucleotide repeats in neurologic diseases: an hypothesis concerning the pathogenesis of Huntington's disease, Kennedy's disease, and spinocerebellar ataxia type I.","Cha JH, Dure LS 4th.",Life Sci. 1994;54(20):1459-64. Review.,1/1/1994,1994
384,7999979,Genes with triplet repeats: a new class of mutations causing neurological diseases.,"Plassart E, Fontaine B.",Biomed Pharmacother. 1994;48(5-6):191-7. Review.,1/1/1994,1994
387,8118462,Enzymatic amplification of synthetic oligodeoxyribonucleotides: implications for triplet repeat expansions in the human genome.,"Behn-Krappa A, Doerfler W.",Hum Mutat. 1994;3(1):19-24.,1/1/1994,1994
390,8162055,Distribution of trinucleotide repeat sequences across a 2 Mbp region containing the Huntington's disease gene.,"Hummerich H, Baxendale S, Mott R, Kirby SF, MacDonald ME, Gusella J, Lehrach H, Bates GP.",Hum Mol Genet. 1994 Jan;3(1):73-8.,1/1/1994,1994
393,8293721,Complex genetic disease: can genetic strategies in Alzheimer's disease and new genetic mechanisms be applied to epilepsy?,"Roses AD, Pericak-Vance MA, Saunders AM, Schmechel D, Goldgaber D, Strittmatter W.",Epilepsia. 1994;35 Suppl 1:S20-8. Review.,1/1/1994,1994
396,8065545,[Clinical-genetic studies of infantile and juvenile proximal spinal muscular atrophy].,"Lusakowska A, Penchaszadech G, Badurska B, Borkowska J, Hausmanowa-Petrusewicz I.",Neurol Neurochir Pol. 1994;28(1 Suppl 1):91-102. Polish.,1/1/1994,1994
399,8158210,Aberrant androgen action and increased size of tandem CAG repeat in androgen receptor gene in X-linked recessive bulbospinal neuronopathy.,"Sobue G, Doyu M, Morishima T, Mukai E, Yasuda T, Kachi T, Mitsuma T.",J Neurol Sci. 1994 Feb;121(2):167-71.,2/1/1994,1994
402,8195817,"Disease-specific patterns of neuronal loss in the spinal ventral horn in amyotrophic lateral sclerosis, multiple system atrophy and X-linked recessive bulbospinal neuronopathy, with special reference to the loss of small neurons in the intermediate zone.","Terao S, Sobue G, Hashizume Y, Mitsuma T, Takahashi A.",J Neurol. 1994 Feb;241(4):196-203.,2/1/1994,1994
405,8187377,The DNA diagnosis for bulbospinal muscular atrophy.,"Ohno M, Yamada T, Kobayashi T, Goto I.",Clin Neurol Neurosurg. 1994 Feb;96(1):20-3.,2/1/1994,1994
408,7515106,Exonic trinucleotide repeats and expression of androgen receptor gene in spinal cord from X-linked spinal and bulbar muscular atrophy.,"Nakamura M, Mita S, Murakami T, Uchino M, Watanabe S, Tokunaga M, Kumamoto T, Ando M.",J Neurol Sci. 1994 Mar;122(1):74-9.,3/1/1994,1994
411,8030404,X-linked recessive bulbospinal neuronopathy (Kennedy's syndrome): a neurophysiological study.,"Trojaborg W, Wulff CH.",Acta Neurol Scand. 1994 Mar;89(3):214-9.,3/1/1994,1994
414,8200149,[Distribution of androgen receptors in bulbo-spinal muscular atrophy].,"Murata K, Takayanagi T, Araki K, Murata K, Mano Y.",Rinsho Shinkeigaku. 1994 Mar;34(3):270-3. Japanese.,3/1/1994,1994
417,8031305,Trinucleotide repeat expansions and human genetic disease.,"Bates G, Lehrach H.",Bioessays. 1994 Apr;16(4):277-84. Review.,4/1/1994,1994
420,8170488,X-linked bulbospinomuscular atrophy (Kennedy's disease) masquerading as lead neuropathy.,"Albers JW, Bromberg MB.",Muscle Nerve. 1994 Apr;17(4):419-23.,4/1/1994,1994
423,8092978,Androgen insensitivity syndrome.,"Patterson MN, McPhaul MJ, Hughes IA.",Baillieres Clin Endocrinol Metab. 1994 Apr;8(2):379-404. Review.,4/1/1994,1994
427,8064815,Instability of CAG repeats in Huntington's disease: relation to parental transmission and age of onset.,"Trottier Y, Biancalana V, Mandel JL.",J Med Genet. 1994 May;31(5):377-82.,5/1/1994,1994
430,7920176,Molecular genetics of androgen insensitivity syndromes.,"Lobaccaro JM, Lumbroso S, Poujol N, Belon C, Sultan C.",Cell Mol Biol (Noisy-le-grand). 1994 May;40(3):301-8. Review.,5/1/1994,1994
434,8201346,Benign neurogenic amyotrophy in Klinefelter's syndrome.,"Matsubara S, Yoshino M, Takamori M.",J Neurol Neurosurg Psychiatry. 1994 May;57(5):640-2.,5/1/1994,1994
437,7925243,Capillary electrophoresis of polymerase chain reaction-amplified products in polymer networks: the case of Kennedy's disease.,"Nesi M, Righetti PG, Patrosso MC, Ferlini A, Chiari M.",Electrophoresis. 1994 May;15(5):644-6.,5/1/1994,1994
440,7979162,Analysis of CAG trinucleotide repeats from mouse cDNA sequences.,"Abbott C, Chambers D.",Ann Hum Genet. 1994 May;58(Pt 2):87-94.,5/1/1994,1994
443,7964863,Molecular basis and diagnosis of neurogenetic disorders.,"Müller U, Graeber MB, Haberhausen G, Köhler A.",J Neurol Sci. 1994 Jul;124(2):119-40. Review.,7/1/1994,1994
446,8035915,Bilateral seventh nerve palsy: analysis of 43 cases and review of the literature.,Keane JR.,Neurology. 1994 Jul;44(7):1198-202.,7/1/1994,1994
449,7952856,Disorders of the motor neurone.,"Morrison KE, Harding AE.",Baillieres Clin Neurol. 1994 Aug;3(2):431-45. Review.,8/1/1994,1994
453,8065934,The length and location of CAG trinucleotide repeats in the androgen receptor N-terminal domain affect transactivation function.,"Chamberlain NL, Driver ED, Miesfeld RL.",Nucleic Acids Res. 1994 Aug 11;22(15):3181-6.,8/11/1994,1994
457,7931399,Expression of androgen receptor in X-linked spinal and bulbar muscular atrophy and amyotrophic lateral sclerosis.,"Ogata A, Matsuura T, Tashiro K, Moriwaka F, Demura T, Koyanagi T, Nagashima K.",J Neurol Neurosurg Psychiatry. 1994 Oct;57(10):1274-5. No abstract available.,10/1/1994,1994
460,7967961,[Kennedy's syndrome. A differential diagnosis of amyotrophic lateral sclerosis with slow progress and good prognosis].,"Lindvall B, Dahle L.",Lakartidningen. 1994 Oct 26;91(43):3913-7. Swedish.  No abstract available.,10/26/1994,1994
463,7894219,Decrease in androgen binding and effect of androgen treatment in a case of X-linked bulbospinal neuronopathy.,"Danek A, Witt TN, Mann K, Schweikert HU, Romalo G, La Spada AR, Fischbeck KH.",Clin Investig. 1994 Nov;72(11):892-7.,11/1/1994,1994
466,7998766,Trinucleotide repeat expansion in neurological disease.,"La Spada AR, Paulson HL, Fischbeck KH.",Ann Neurol. 1994 Dec;36(6):814-22. Review.,12/1/1994,1994
469,7699390,Androgen receptor mRNA with increased size of tandem CAG repeat is widely expressed in the neural and nonneural tissues of X-linked recessive bulbospinal neuronopathy.,"Doyu M, Sobue G, Kimata K, Yamamoto K, Mitsuma T.",J Neurol Sci. 1994 Dec 1;127(1):43-7.,12/1/1994,1994
472,7774118,[Expansion of triplet repeat and neurodegenerative disorders].,Kanazawa I.,Rinsho Shinkeigaku. 1994 Dec;34(12):1224-6. Review. Japanese.,12/1/1994,1994
475,18407238,X-linked muscular atrophy and the androgen receptor.,"Trifiro MA, Kazemi-Esfarjani P, Pinsky L.",Trends Endocrinol Metab. 1994 Dec;5(10):416-21.,12/1/1994,1994
478,7676123,[Molecular genetic study of a family with Kennedy syndrome including a symptomatic heterozygote].,"De Ferron E, Le Roux MG, Pascal O, Moisan JP, Fève JR.",Rev Neurol (Paris). 1994 Dec;150(12):854-7. French.,12/1/1994,1994
481,7774037,Risk estimates for developing motor neurone disease in first-degree relatives.,"James CM, Newcombe RG, Harper PS, Wiles CM.",Clin Genet. 1995 Jan;47(1):13-6.,1/1/1995,1995
484,7583622,Genetic anticipation in schizophrenia: pro and con.,"Petronis A, Sherrington RP, Paterson AD, Kennedy JL.",Clin Neurosci. 1995;3(2):76-80. Review.,1/1/1995,1995
487,7669408,[A 54-year-old man with progressive proximal muscle atrophy and gynecomastia].,"Anno M, Gotoh K, Hirasawa E, Mori H, Nakajima Y, Mizuno Y.",No To Shinkei. 1995 Jan;47(1):87-96. Japanese.,1/1/1995,1995
490,7702080,Androgen receptor gene (CAG)n repeat analysis in the differential diagnosis between Kennedy disease and other motoneuron disorders.,"Ferlini A, Patrosso MC, Guidetti D, Merlini L, Uncini A, Ragno M, Plasmati R, Fini S, Repetto M, Vezzoni P, et al.",Am J Med Genet. 1995 Jan 2;55(1):105-11.,1/2/1995,1995
493,7719348,Stability of an expanded trinucleotide repeat in the androgen receptor gene in transgenic mice.,"Bingham PM, Scott MO, Wang S, McPhaul MJ, Wilson EM, Garbern JY, Merry DE, Fischbeck KH.",Nat Genet. 1995 Feb;9(2):191-6. Erratum in: Nat Genet 1995 Jun;10(2):249.,2/1/1995,1995
496,7757084,CAG repeat length variation in sperm from a patient with Kennedy's disease.,"Zhang L, Fischbeck KH, Arnheim N.",Hum Mol Genet. 1995 Feb;4(2):303-5.,2/1/1995,1995
499,7852512,Abnormal androgen receptor binding affinity in subjects with Kennedy's disease (spinal and bulbar muscular atrophy).,"MacLean HE, Choi WT, Rekaris G, Warne GL, Zajac JD.",J Clin Endocrinol Metab. 1995 Feb;80(2):508-16.,2/1/1995,1995
502,7840347,Unstable genes--unstable mind?,"Petronis A, Kennedy JL.",Am J Psychiatry. 1995 Feb;152(2):164-72. Review.,2/1/1995,1995
505,7787780,Unstable triplet repeat sequences: a source of cancer mutations?,"Panzer S, Kuhl DP, Caskey CT.",Stem Cells. 1995 Mar;13(2):146-57. Review.,3/1/1995,1995
508,7753243,[From degeneration to anticipation. Systematic and historical scientific aspects of the genetics of neuropsychiatric diseases].,"Spitzer M, Hermle L.",Nervenarzt. 1995 Mar;66(3):187-96. Review. German.,3/1/1995,1995
511,7870107,Primary sensory neurons in X-linked recessive bulbospinal neuropathy: histopathology and androgen receptor gene expression.,"Li M, Sobue G, Doyu M, Mukai E, Hashizume Y, Mitsuma T.",Muscle Nerve. 1995 Mar;18(3):301-8.,3/1/1995,1995
514,7633399,Evidence for a repressive function of the long polyglutamine tract in the human androgen receptor: possible pathogenetic relevance for the (CAG)n-expanded neuronopathies.,"Kazemi-Esfarjani P, Trifiro MA, Pinsky L.",Hum Mol Genet. 1995 Apr;4(4):523-7.,4/1/1995,1995
517,7595622,Differential diagnosis in spinal and bulbar muscular atrophy clinical and molecular aspects.,"Jöbsis GJ, Louwerse ES, de Visser M, Wolterman RA, Bolhuis PA, Busch HF, Brüggenwirth HT, Baas F, Wiersinga WM, Koelman JH, et al.",J Neurol Sci. 1995 May;129 Suppl:56-7.,5/1/1995,1995
520,7739645,Distribution of androgen receptors in bulbospinal muscular atrophy.,"Murata KY, Takayanagi T, Mano Y, Araki K, Murata K.",Muscle Nerve. 1995 May;18(5):549-51. No abstract available.,5/1/1995,1995
523,7595605,Androgen-controlled specific gene expression in neuroblastoma cells.,"Yerramilli-Rao P, Garofalo O, Whatley S, Leigh PN, Gallo JM.",J Neurol Sci. 1995 May;129 Suppl:131-5.,5/1/1995,1995
526,7626493,Androgen receptor mutations.,"Brinkmann AO, Jenster G, Ris-Stalpers C, van der Korput JA, Brüggenwirth HT, Boehmer AL, Trapman J.",J Steroid Biochem Mol Biol. 1995 Jun;53(1-6):443-8. Review.,6/1/1995,1995
529,8624856,The expanded trinucleotide repeat in Kennedy's disease.,Fischbeck KH.,Proc Assoc Am Physicians. 1995 Jul;107(2):228-30. Review. No abstract available.,7/1/1995,1995
532,7489816,Defects of androgen receptor function: from sex reversal to motor neurone disease.,"MacLean HE, Warne GL, Zajac JD.",Mol Cell Endocrinol. 1995 Aug 11;112(2):133-41. Review.,8/11/1995,1995
535,8540824,[Kennedy disease: report of 2 cases].,"Seefeld M, Cunha FM, Ferraz LE, Scola RH, Werneck LC.",Arq Neuropsiquiatr. 1995 Sep;53(3-A):471-4. Portuguese.,9/1/1995,1995
538,8545913,Spinal and bulbar muscular atrophy: a trinucleotide-repeat expansion neurodegenerative disease.,"Brooks BP, Fischbeck KH.",Trends Neurosci. 1995 Oct;18(10):459-61. Review.,10/1/1995,1995
541,8749704,Kennedy's disease: clinical and molecular study of two Italian families.,"Pareyson D, Castellotti B, Botti S, Defanti CA, Gellera C, Taroni F, Sghirlanzoni A.",Ital J Neurol Sci. 1995 Oct;16(7):467-71.,10/1/1995,1995
544,8599717,Molecular genetics of peripheral neuropathies.,Harding AE.,Baillieres Clin Neurol. 1995 Nov;4(3):383-400. Review.,11/1/1995,1995
547,8746749,Regional cerebral blood flow and neuropsychological performance in a Danish family with X-linked bulbo-spinal neuronopathy.,"Tedeschi E, Waldemar G, Gyring J, Gade A, Staehelin Jensen T, Paulson OB.",Int J Neurosci. 1995 Nov;83(1-2):59-68.,11/1/1995,1995
550,8666217,[A new mechanism of mutation in man: expansion of trinucleotide repeats].,"Illarioshkin SN, Ivanova-Smolenskaia IA, Markova ED.",Genetika. 1995 Nov;31(11):1478-89. Review. Russian.,11/1/1995,1995
553,8610494,"Type IV hyperlipoproteinemia and moderate instability of CAG triplet expansion in the androgen-receptor gene. Lipid, sex hormone and molecular study in a Chinese family with Kennedy-Alter-Sung disease.","Liu CS, Chang YC, Chen DF, Huang CC, Pang CY, Lee HC, Cheng CC, Horng CJ, Wei YH.",Acta Neurol Scand. 1995 Nov;92(5):398-404.,11/1/1995,1995
556,8720337,[A patient with Kennedy-Alter-Sung syndrome showing cardiomyopathy].,"Hattori T, Ikeda S, Yoshida K, Yanagisawa N, Furihata K, Yoshida K.",Rinsho Shinkeigaku. 1995 Nov;35(11):1246-9. Japanese.,11/1/1995,1995
559,7483104,[X-linked recessive bulbospinal neuropathy (Kennedy syndrome)].,"Wulff CH, Sørensen SA, Trojaborg W.",Ugeskr Laeger. 1995 Nov 13;157(46):6440-1. Danish.,11/13/1995,1995
562,7477059,X-linked recessive bulbospinal neuronopathy: clinical phenotypes and CAG repeat size in androgen receptor gene.,"Shimada N, Sobue G, Doyu M, Yamamoto K, Yasuda T, Mukai E, Kachi T, Mitsuma T.",Muscle Nerve. 1995 Dec;18(12):1378-84.,12/1/1995,1995
565,8725492,X-linked recessive bulbospinal neuronopathy (SBMA).,Sobue G.,Nagoya J Med Sci. 1995 Dec;58(3-4):95-106. Review.,12/1/1995,1995
568,8752387,[The founders of neurology. Moritz Heinrich Romberg and Hiroshi Kawahara].,Takahashi A.,Rinsho Shinkeigaku. 1995 Dec;35(12):1313-22. Japanese.,12/1/1995,1995
571,8630238,Provocative aspects of androgen genetics.,Brown TR.,Prostate Suppl. 1996;6:9-12. Review.,1/1/1996,1996
574,10590631,[X-linked recessive spinal and bulbar muscular atrophy. Kennedy syndrome].,"Udd B, Holmgren G.",Duodecim. 1996;112(3):218-9. Finnish.  No abstract available.,1/1/1996,1996
577,8807333,Somatic stability of the expanded CAG trinucleotide repeat in X-linked spinal and bulbar muscular atrophy.,"Spiegel R, La Spada AR, Kress W, Fischbeck KH, Schmid W.",Hum Mutat. 1996;8(1):32-7.,1/1/1996,1996
580,8833437,Trinucleotide repeats in neurogenetic disorders.,"Paulson HL, Fischbeck KH.",Annu Rev Neurosci. 1996;19:79-107. Review.,1/1/1996,1996
583,8926495,"Differential pattern in tissue-specific somatic mosaicism of expanded CAG trinucleotide repeats in dentatorubral-pallidoluysian atrophy, Machado-Joseph disease, and X-linked recessive spinal and bulbar muscular atrophy.","Tanaka F, Sobue G, Doyu M, Ito Y, Yamamoto M, Shimada N, Yamamoto K, Riku S, Hshizume Y, Mitsuma T.",J Neurol Sci. 1996 Jan;135(1):43-50.,1/1/1996,1996
586,8928625,Disaggregation of polyribosomes in the spinal anterior horn cells in a patient with X-linked spinal and bulbar muscular atrophy.,"Oyanagi K, Aoki K, Morita T, Igarashi S, Inuzuka T, Horikawa Y.",Acta Neuropathol. 1996;91(4):444-7.,1/1/1996,1996
589,8820402,Neurogenetic diseases: molecular diagnosis and therapeutic approaches.,"Muller U, Graeber MB.",J Mol Med (Berl). 1996 Feb;74(2):71-84. Review.,2/1/1996,1996
592,8867071,Spinal and bulbar muscular atrophy: androgen receptor dysfunction caused by a trinucleotide repeat expansion.,"MacLean HE, Warne GL, Zajac JD.",J Neurol Sci. 1996 Feb;135(2):149-57.,2/1/1996,1996
595,8867072,Testosterone therapy and the pathogenesis of Kennedy's disease (X-linked bulbospinal muscular atrophy).,"Goldenberg JN, Bradley WG.",J Neurol Sci. 1996 Feb;135(2):158-61.,2/1/1996,1996
598,8867070,"X-linked bulbar and spinal muscular atrophy, or Kennedy disease: clinical, neurophysiological, neuropathological, neuropsychological and molecular study of a large family.","Guidetti D, Vescovini E, Motti L, Ghidoni E, Gemignani F, Marbini A, Patrosso MC, Ferlini A, Solime F.",J Neurol Sci. 1996 Feb;135(2):140-8.,2/1/1996,1996
601,8710782,Prenatal diagnosis of X-linked spinal and bulbar muscular atrophy in a Greek family.,"Yapijakis C, Kapaki E, Boussiou M, Vassilopoulos D, Papageorgiou C.",Prenat Diagn. 1996 Mar;16(3):262-5.,3/1/1996,1996
604,8741352,[A case of Kennedy-Alter-Sung (KAS) syndrome presenting as hypersexuality and elevated serum CK: usefulness of genetic analysis].,"Hokezu Y, Yanai S, Nagai M, Nagamatsu K, Yamamoto Y.",Rinsho Shinkeigaku. 1996 Mar;36(3):471-4. Japanese.,3/1/1996,1996
607,8737374,CAG-repeat expansion in androgen receptor in Kennedy's disease is not a loss of function mutation.,"Neuschmid-Kaspar F, Gast A, Peterziel H, Schneikert J, Muigg A, Ransmayr G, Klocker H, Bartsch G, Cato AC.",Mol Cell Endocrinol. 1996 Mar 25;117(2):149-56.,3/25/1996,1996
